code,buy_date,buy_price,sell_price,momentum,gross_return,net_return,win,momentum_group,month
688376,2024-01-19,34.79,34.73,0.013694638694638606,-0.0017246335153780475,-0.003324633515378047,False,0-20%,2024-01
688376,2024-02-23,33.11,33.19,0.10183028286189688,0.002416188462700039,0.0008161884627000391,True,0-20%,2024-02
688376,2024-04-01,36.45,36.16,0.12015980331899212,-0.00795610425240072,-0.009556104252400721,False,0-20%,2024-04
688376,2024-11-19,38.45,38.04,0.31318306010928976,-0.010663198959688001,-0.012263198959688002,False,20-50%,2024-11
688376,2024-12-09,37.56,38.75,0.21357027463651068,0.03168264110756117,0.030082641107561172,True,20-50%,2024-12
688125,2024-08-14,29.5,29.26,0.001017984390905946,-0.00813559322033893,-0.009735593220338928,False,0-20%,2024-08
688125,2024-11-26,40.41,40.78,0.4104712041884817,0.00915614946795359,0.00755614946795359,True,20-50%,2024-11
688125,2024-12-06,42.93,42.71,0.45082798242649536,-0.005124621476822708,-0.006724621476822708,False,20-50%,2024-12
301123,2024-11-05,19.13,19.22,0.12994683992911993,0.0047046523784631394,0.0031046523784631396,True,0-20%,2024-11
301123,2024-12-19,20.3,20.33,0.26558603491271837,0.0014778325123151518,-0.00012216748768484808,False,20-50%,2024-12
301235,2024-11-20,21.13,21.06,0.12333864965443908,-0.003312825366777108,-0.004912825366777108,False,0-20%,2024-11
301235,2024-11-21,21.21,21.2,0.12999467234949402,-0.00047147571900054515,-0.002071475719000545,False,0-20%,2024-11
301235,2024-11-29,21.42,21.5,0.15161290322580645,0.003734827264238949,0.002134827264238949,True,0-20%,2024-11
301235,2024-12-06,22.08,22.1,0.1928687196110208,0.0009057971014494171,-0.0006942028985505828,False,0-20%,2024-12
301235,2024-12-17,22.37,22.37,0.25462703309029733,0.0,-0.0015999999999999999,False,20-50%,2024-12
301056,2024-10-22,7.82,7.88,0.23734177215189867,0.007672634271099694,0.006072634271099694,True,20-50%,2024-10
301056,2024-10-28,7.94,7.96,0.09668508287292821,0.002518891687657377,0.000918891687657377,True,0-20%,2024-10
301056,2024-11-20,8.3,8.26,0.05196451204055785,-0.0048192771084338455,-0.006419277108433845,False,0-20%,2024-11
301056,2024-11-21,8.35,8.38,0.04767879548306153,0.003592814371257621,0.0019928143712576213,True,0-20%,2024-11
300765,2024-02-23,25.3,26.26,1.535070140280561,0.037944664031620584,0.03634466403162059,True,>100%,2024-02
300765,2024-03-11,28.74,28.49,2.1897891231964484,-0.008698677800974252,-0.010298677800974251,False,>100%,2024-03
300765,2024-06-05,31.56,31.88,0.059060402684563584,0.010139416983523457,0.008539416983523458,True,0-20%,2024-06
300765,2024-06-12,30.6,30.46,0.0016366612111293755,-0.004575163398692829,-0.006175163398692829,False,0-20%,2024-06
300765,2024-06-13,30.7,30.62,0.009536336731338357,-0.002605863192182355,-0.004205863192182355,False,0-20%,2024-06
300414,2024-08-15,6.54,6.57,0.013953488372093092,0.004587155963302791,0.002987155963302791,True,0-20%,2024-08
300414,2024-10-21,8.85,8.79,0.2919708029197081,-0.006779661016949209,-0.00837966101694921,False,20-50%,2024-10
300414,2024-12-12,9.17,9.13,0.348529411764706,-0.0043620501635767885,-0.005962050163576788,False,20-50%,2024-12
300990,2024-10-28,36.28,36.33,0.21337792642140485,0.0013781697905181135,-0.00022183020948188638,False,20-50%,2024-10
300990,2024-11-20,35.17,34.96,0.076522803795531,-0.005970998009667354,-0.0075709980096673535,False,0-20%,2024-11
002969,2024-01-26,4.12,4.15,0.06735751295336789,0.0072815533980583125,0.005681553398058313,True,0-20%,2024-01
002969,2024-11-28,3.36,3.33,0.06329113924050622,-0.00892857142857137,-0.01052857142857137,False,0-20%,2024-11
002969,2024-11-29,3.38,3.39,0.11551155115511547,0.002958579881656873,0.0013585798816568733,True,0-20%,2024-11
002969,2024-12-06,3.48,3.52,0.17567567567567566,0.011494252873563229,0.009894252873563228,True,0-20%,2024-12
600179,2024-11-20,2.97,2.97,0.29130434782608705,0.0,-0.0015999999999999999,False,20-50%,2024-11
000036,2024-09-25,3.27,3.27,0.13148788927335642,0.0,-0.0015999999999999999,False,0-20%,2024-09
000036,2024-12-06,5.01,5.01,0.6057692307692306,0.0,-0.0015999999999999999,False,50-100%,2024-12
000036,2024-12-12,5.08,5.05,0.6178343949044585,-0.0059055118110236705,-0.00750551181102367,False,50-100%,2024-12
002394,2024-04-12,7.53,7.67,0.018944519621109768,0.018592297476759584,0.016992297476759583,True,0-20%,2024-04
002394,2024-10-23,7.05,7.03,0.0014204545454545858,-0.002836879432624053,-0.004436879432624052,False,0-20%,2024-10
002394,2024-11-05,7.45,7.49,0.030428769017980528,0.005369127516778528,0.0037691275167785285,True,0-20%,2024-11
002394,2024-11-27,7.72,7.68,0.15223880597014916,-0.005181347150259072,-0.006781347150259072,False,0-20%,2024-11
002394,2024-11-28,7.8,7.81,0.19631901840490795,0.0012820512820512547,-0.00031794871794874513,False,0-20%,2024-11
002394,2024-12-09,8.05,8.21,0.28800000000000003,0.019875776397515543,0.018275776397515542,True,20-50%,2024-12
603069,2024-03-28,18.05,17.9,0.07632677400119259,-0.008310249307479343,-0.009910249307479344,False,0-20%,2024-03
603069,2024-04-26,16.87,16.88,0.025531914893617058,0.0005927682276228814,-0.0010072317723771184,False,0-20%,2024-04
603069,2024-10-18,17.26,17.23,0.011130638547158789,-0.0017381228273465315,-0.0033381228273465314,False,0-20%,2024-10
603069,2024-11-20,19.96,19.97,0.2126366950182259,0.0005010020040079164,-0.0010989979959920835,False,20-50%,2024-11
