code,buy_date,buy_price,sell_date,sell_price,gross_return,net_return,max_profit,win,month
300414,2024-07-22,6.11,2024-07-23,6.11,0.0,-0.0015999999999999999,0.011456628477904974,False,2024-07
300414,2024-08-15,6.54,2024-08-16,6.57,0.004587155963302791,0.002987155963302791,0.021406727828746128,True,2024-08
300414,2024-08-26,6.32,2024-08-27,6.29,-0.004746835443038014,-0.006346835443038014,0.0015822784810126244,False,2024-08
300414,2024-09-10,6.58,2024-09-11,6.54,-0.0060790273556231055,-0.007679027355623105,0.0030395136778114855,False,2024-09
300414,2024-10-21,8.85,2024-10-22,8.79,-0.006779661016949209,-0.00837966101694921,-0.0011299435028248347,False,2024-10
300414,2024-12-12,9.17,2024-12-13,9.13,-0.0043620501635767885,-0.005962050163576788,0.0,False,2024-12
301123,2024-07-22,16.98,2024-07-23,16.99,0.0005889281507654895,-0.0010110718492345105,0.02473498233215537,False,2024-07
301123,2024-09-20,14.78,2024-09-23,15.1,0.021650879566982428,0.020050879566982427,0.035182679296346504,True,2024-09
301123,2024-11-05,19.13,2024-11-06,19.22,0.0047046523784631394,0.0031046523784631396,0.014636696288552072,True,2024-11
301123,2024-12-19,20.3,2024-12-20,20.33,0.0014778325123151518,-0.00012216748768484808,0.12118226600985225,False,2024-12
301235,2024-03-01,19.24,2024-03-04,19.18,-0.0031185031185030523,-0.004718503118503052,0.029106029106029226,False,2024-03
301235,2024-03-04,19.51,2024-03-05,19.49,-0.001025115325474276,-0.002625115325474276,-0.001025115325474276,False,2024-03
301235,2024-03-29,22.05,2024-04-01,22.0,-0.002267573696145157,-0.0038675736961451567,0.009977324263038496,False,2024-03
301235,2024-04-01,22.16,2024-04-02,22.05,-0.004963898916967483,-0.006563898916967483,-0.004963898916967483,False,2024-04
301235,2024-05-17,19.53,2024-05-20,19.46,-0.003584229390681018,-0.005184229390681017,0.009216589861751136,False,2024-05
301235,2024-05-20,19.65,2024-05-21,19.77,0.006106870229007685,0.004506870229007685,0.006106870229007685,True,2024-05
301235,2024-06-11,18.17,2024-06-12,18.47,0.0165107319757841,0.0149107319757841,0.03137039075398991,True,2024-06
301235,2024-07-01,17.51,2024-07-02,17.54,0.0017133066818959212,0.00011330668189592132,0.012564249000571036,True,2024-07
301235,2024-07-02,17.6,2024-07-03,17.6,0.0,-0.0015999999999999999,0.00852272727272719,False,2024-07
301235,2024-07-22,17.53,2024-07-23,17.3,-0.013120365088419876,-0.014720365088419875,0.0792926411865374,False,2024-07
301235,2024-07-26,17.58,2024-07-29,17.57,-0.0005688282138792953,-0.002168828213879295,0.020477815699658876,False,2024-07
301235,2024-07-29,17.79,2024-07-30,17.79,0.0,-0.0015999999999999999,0.014052838673412029,False,2024-07
301235,2024-09-05,16.94,2024-09-06,16.93,-0.0005903187721370462,-0.0021903187721370463,0.005312868949232577,False,2024-09
301235,2024-11-05,20.16,2024-11-06,20.61,0.022321428571428537,0.020721428571428537,0.03422619047619054,True,2024-11
301235,2024-11-20,21.13,2024-11-21,21.06,-0.003312825366777108,-0.004912825366777108,0.009465215333648807,False,2024-11
301235,2024-11-21,21.21,2024-11-22,21.2,-0.00047147571900054515,-0.002071475719000545,0.008486562942008473,False,2024-11
301235,2024-11-29,21.42,2024-12-02,21.5,0.003734827264238949,0.002134827264238949,0.045751633986927956,True,2024-11
301235,2024-12-06,22.08,2024-12-09,22.1,0.0009057971014494171,-0.0006942028985505828,0.013586956521739163,False,2024-12
301235,2024-12-17,22.37,2024-12-18,22.37,0.0,-0.0015999999999999999,0.018328118015198933,False,2024-12
688376,2024-01-19,34.79,2024-01-22,34.73,-0.0017246335153780475,-0.003324633515378047,0.029031330842195977,False,2024-01
688376,2024-02-23,33.11,2024-02-26,33.19,0.002416188462700039,0.0008161884627000391,0.03231652068861372,True,2024-02
688376,2024-03-11,32.56,2024-03-12,32.55,-0.0003071253071254642,-0.0019071253071254641,0.02119164619164612,False,2024-03
688376,2024-03-12,33.03,2024-03-13,33.0,-0.0009082652134423595,-0.0025082652134423592,0.009688162276718143,False,2024-03
688376,2024-03-19,33.1,2024-03-20,33.08,-0.0006042296072508497,-0.0022042296072508497,0.002719033232628287,False,2024-03
688376,2024-04-01,36.45,2024-04-02,36.16,-0.00795610425240072,-0.009556104252400721,0.015089163237311307,False,2024-04
688376,2024-04-18,31.12,2024-04-19,30.8,-0.010282776349614406,-0.011882776349614405,0.001285347043701772,False,2024-04
688376,2024-04-23,30.88,2024-04-24,30.89,0.00032383419689124235,-0.0012761658031087576,0.015867875647668457,False,2024-04
688376,2024-04-24,31.28,2024-04-25,31.48,0.0063938618925830975,0.004793861892583098,0.015345268542199501,True,2024-04
688376,2024-04-25,31.5,2024-04-26,31.0,-0.015873015873015872,-0.017473015873015873,0.02603174603174604,False,2024-04
688376,2024-09-04,29.12,2024-09-05,29.12,0.0,-0.0015999999999999999,0.007554945054945016,False,2024-09
688376,2024-11-19,38.45,2024-11-20,38.04,-0.010663198959688001,-0.012263198959688002,0.02600780234070221,False,2024-11
688376,2024-12-09,37.56,2024-12-10,38.75,0.03168264110756117,0.030082641107561172,0.04845580404685836,True,2024-12
301056,2024-03-29,7.62,2024-04-01,7.54,-0.010498687664042003,-0.012098687664042002,0.030183727034120676,False,2024-03
301056,2024-05-15,8.05,2024-05-16,7.92,-0.016149068322981464,-0.017749068322981464,0.0658385093167701,False,2024-05
301056,2024-05-27,7.97,2024-05-28,7.98,0.0012547051442911763,-0.0003452948557088236,0.003764115432873306,False,2024-05
