symbol,name,momentum,close,ma5,last_4_closes_sum,rps
688585,上纬新材,13.07835325365206,106.01,100.468,405.33,100.0
605255,天普股份,7.805830903790088,151.02,149.322,590.48,99.98109640831758
601299,中国北车,4.889980353634578,29.98,31.971999999999998,125.76,99.96219281663517
603516,淳中科技,4.8384255436278565,212.11,204.082,811.11,99.94328922495274
300186,大华农,4.722152690863579,45.72,43.05,172.24,99.92438563327032
000592,平潭发展,3.3081967213114756,13.14,13.632,54.339999999999996,99.9054820415879
300308,中际旭创,3.273982056590752,619.3,593.936,2379.7,99.88657844990549
688109,品茗科技,3.193397799266423,125.76,127.38199999999999,510.11,99.86767485822307
603122,合富中国,3.14854517611026,27.09,28.03,112.7,99.84877126654065
603778,国晟科技,3.032738095238096,13.55,12.872,51.629999999999995,99.82986767485822
300475,香农芯创,2.9466476462196867,138.33,137.234,548.61,99.8109640831758
688195,腾景科技,2.930147058823529,171.04,170.394,679.01,99.79206049149339
688110,东芯股份,2.9280239920026654,117.88,116.686,471.34,99.77315689981097
301377,鼎泰高科,2.79009900990099,133.98,123.80799999999999,491.05999999999995,99.75425330812855
002759,天际股份,2.6581632653061225,35.85,34.458,137.56,99.73534971644612
300620,光库科技,2.6335648148148145,156.97,160.49,635.53,99.7164461247637
300456,赛微电子,2.619268717353453,62.36,62.544000000000004,251.88,99.69754253308129
688228,开普云,2.613298791018998,209.21,217.644,865.02,99.67863894139887
300502,新易盛,2.6050314465408806,458.56,445.49000000000007,1781.35,99.65973534971646
300300,海峡创新,2.549019607843137,16.29,15.772,64.77000000000001,99.64083175803403
002837,英维克,2.3479293957909024,98.63,94.252,378.31,99.62192816635161
603301,振德医疗,2.3267233238904623,70.46,68.544,274.59,99.60302457466919
000562,宏源证券,2.311617806731813,30.5,25.660000000000004,107.23,99.58412098298678
301183,东田微,2.2797772917080934,164.94,166.592,663.49,99.56521739130434
688498,源杰科技,2.278520041109969,638.0,638.528,2528.64,99.54631379962193
301489,思泉新材,2.2433020763563296,193.69,193.58799999999997,767.95,99.52741020793951
600693,东百集团,2.232993197278912,19.01,17.744,72.0,99.50850661625708
301232,飞沃科技,2.2304418985270047,98.69,104.74000000000001,419.79,99.48960302457466
603929,亚翔集成,2.2168102168102166,108.31,96.126,390.61,99.47069943289225
601869,长飞光纤,2.1719457013574663,126.18,115.002,476.78000000000003,99.45179584120983
001331,胜通能源,2.1598401598401598,31.63,26.375999999999998,110.28,99.4328922495274
688411,海博思创,2.085802689515649,259.3,251.06599999999997,995.99,99.41398865784498
600343,航天动力,2.0842191332788222,37.72,37.233999999999995,149.97,99.39508506616257
300486,东杰智能,2.0624113475177306,21.59,19.742,79.39,99.37618147448015
001203,大中矿业,2.0303030303030303,29.0,28.288,113.14,99.35727788279773
601138,工业富联,2.019749518304431,62.69,60.278,239.89,99.33837429111531
688125,安达智能,1.9460836909871244,109.83,89.196,368.01,99.31947069943288
301123,奕东电子,1.9043168669336898,65.26,58.872,241.57999999999998,99.30056710775047
605298,必得科技,1.8989619377162632,41.89,41.39,166.86,99.28166351606805
688627,精智达,1.8671438157011853,256.38,223.536,911.6800000000001,99.26275992438563
301308,江波龙,1.8474556352097777,242.29,248.052,988.98,99.24385633270322
301200,大族数控,1.842314901593252,121.31,116.708,464.24,99.22495274102079
300539,横河精密,1.8392330383480824,38.5,39.404,157.25,99.20604914933837
300394,天孚通信,1.836078130984297,222.15,219.154,877.99,99.18714555765595
688353,华盛锂电,1.8307086614173225,93.47,95.02799999999999,372.24,99.16824196597354
605178,时空科技,1.8269876819708848,50.49,51.406000000000006,205.21,99.14933837429112
301217,铜冠铜箔,1.7691693290734827,34.67,32.478,129.10000000000002,99.1304347826087
300390,天华新能,1.751057082452431,52.05,51.394000000000005,203.28000000000003,99.11153119092627
600840,新湖创业,1.7387802071346377,23.8,23.7,94.6,99.09262759924385
601208,东材科技,1.7368961973278518,26.63,23.659999999999997,95.35,99.07372400756144
603216,梦天家居,1.7277648878576957,35.27,34.452000000000005,139.88000000000002,99.05482041587902
301529,福赛科技,1.7154345808846276,87.79,87.004,348.44,99.0359168241966
688028,沃尔德,1.7093937991670523,58.55,58.45399999999999,232.11,99.01701323251417
000547,航天发展,1.6794258373205742,22.4,22.01,89.0,98.99810964083176
301005,超捷股份,1.6653476540418313,94.3,93.95000000000002,376.97999999999996,98.97920604914934
002240,盛新锂能,1.626947040498442,33.73,33.118,133.26999999999998,98.96030245746692
688676,金盘科技,1.6229508196721314,88.0,86.322,342.89,98.9413988657845
688313,仕佳光子,1.6088344864289519,98.04,97.906,387.63000000000005,98.92249527410209
600472,包头铝业,1.596192384769539,51.82,50.738,202.03,98.90359168241966
301292,海科新源,1.573997233748271,55.83,56.977999999999994,224.02999999999997,98.88468809073724
000657,中钨高新,1.57201646090535,31.25,28.782,115.4,98.86578449905483
300086,康芝药业,1.563868613138686,14.05,11.709999999999999,48.18000000000001,98.84688090737241
605318,法狮龙,1.5558348294434472,71.18,64.776,269.09000000000003,98.82797731568999
002407,多氟多,1.5556492411467115,30.31,29.488,117.43,98.80907372400756
600105,永鼎股份,1.534183082271147,21.87,20.806,83.7,98.79017013232514
603601,再升科技,1.5280898876404494,11.25,10.238,42.14,98.77126654064273
002046,国机精工,1.5225225225225227,42.0,39.316,161.25,98.7523629489603
603083,剑桥科技,1.5168491996630162,119.5,114.72399999999998,460.62,98.73345935727788
600113,浙江东日,1.488631830873554,62.39,61.193999999999996,243.49,98.71455576559546
688205,德科立,1.4861292428198432,152.35,155.918,619.59,98.69565217391305
